function,algo,run,error
F5,GWO,26,3.415957e+01
F5,GWO,27,2.156089e+01
F5,GWO,28,4.409201e+01
F5,GWO,29,9.972956e+00
F5,PSO,0,1.890419e+01
F5,PSO,1,2.539679e+01
F5,PSO,2,1.591976e+01
F5,PSO,3,1.691429e+01
F5,PSO,4,5.969756e+00
F5,PSO,5,1.094454e+01
F5,PSO,6,1.105764e+01
F5,PSO,7,1.293446e+01
F5,PSO,8,1.219592e+01
F5,PSO,9,9.949586e+00
F5,PSO,10,1.392942e+01
F5,PSO,11,2.089412e+01
F5,PSO,12,1.392942e+01
F5,PSO,13,1.106969e+01
F5,PSO,14,1.658158e+01
F5,PSO,15,9.953242e+00
F5,PSO,16,1.790925e+01
F5,PSO,17,3.008221e+01
F5,PSO,18,1.790951e+01
F5,PSO,19,1.094454e+01
F5,PSO,20,1.293444e+01
F5,PSO,21,3.489329e+01
F5,PSO,22,2.487393e+01
F5,PSO,23,1.788710e+01
F5,PSO,24,1.591933e+01
F5,PSO,25,1.492438e+01
F5,PSO,26,1.008562e+01
F5,PSO,27,1.790923e+01
F5,PSO,28,1.293446e+01
F5,PSO,29,2.984864e+01
F5,DE,0,3.674967e+01
F5,DE,1,3.453077e+01
F5,DE,2,3.148219e+01
F5,DE,3,1.059803e+01
F5,DE,4,3.262180e+01
F5,DE,5,5.060584e+00
F5,DE,6,3.886641e+01
F5,DE,7,3.442859e+01
F5,DE,8,2.329388e+01
F5,DE,9,3.429771e+01
F5,DE,10,1.893810e+01
F5,DE,11,2.904580e+01
F5,DE,12,6.512753e+00
F5,DE,13,3.165475e+01
F5,DE,14,4.974806e+00
F5,DE,15,3.979855e+00
F5,DE,16,1.675554e+01
F5,DE,17,2.633127e+01
F5,DE,18,3.174158e+01
F5,DE,19,3.361752e+01
F5,DE,20,4.974881e+00
F5,DE,21,3.524021e+01
F5,DE,22,3.446149e+01
F5,DE,23,1.697112e+01
F5,DE,24,2.518263e+01
F5,DE,25,3.916847e+01
F5,DE,26,2.321550e+01
F5,DE,27,3.276835e+01
F5,DE,28,2.864796e+01
F5,DE,29,2.394846e+01
F5,WOA,0,1.990100e+01
F5,WOA,1,2.889664e+01
F5,WOA,2,4.380079e+01
F5,WOA,3,4.416354e+01
F5,WOA,4,3.285737e+01
F5,WOA,5,1.592666e+01
F5,WOA,6,3.582001e+01
F5,WOA,7,5.969811e+01
F5,WOA,8,2.289122e+01
F5,WOA,9,4.576953e+01
F5,WOA,10,2.887085e+01
F5,WOA,11,2.686501e+01
F5,WOA,12,6.051287e+01
F5,WOA,13,4.676800e+01
F5,WOA,14,5.117378e+01
F5,WOA,15,3.084663e+01
F5,WOA,16,3.085467e+01
F5,WOA,17,3.077224e+01
F5,WOA,18,6.070372e+01
F5,WOA,19,9.056715e+01
F5,WOA,20,6.566805e+01
F5,WOA,21,1.195079e+01
F5,WOA,22,4.876346e+01
F5,WOA,23,3.782416e+01
F5,WOA,24,3.283685e+01
F5,WOA,25,3.620570e+01
F5,WOA,26,2.587148e+01
F5,WOA,27,1.791784e+01
F5,WOA,28,4.079469e+01
F5,WOA,29,5.174556e+01
F6,EOGWO,0,7.676757e-03
F6,EOGWO,1,1.327993e-02
F6,EOGWO,2,1.339476e-02
F6,EOGWO,3,1.606775e-02
F6,EOGWO,4,1.474439e-02
F6,EOGWO,5,2.234336e-02
F6,EOGWO,6,9.919520e-03
F6,EOGWO,7,1.312572e-02
F6,EOGWO,8,1.521922e-03
F6,EOGWO,9,5.121076e-03
F6,EOGWO,10,4.928498e-04
F6,EOGWO,11,5.521789e-03
F6,EOGWO,12,2.538395e-02
F6,EOGWO,13,3.000136e-02
F6,EOGWO,14,3.995882e-02
F6,EOGWO,15,4.069435e-03
F6,EOGWO,16,7.924393e-04
F6,EOGWO,17,2.359306e-02
F6,EOGWO,18,1.724400e-04
F6,EOGWO,19,4.253914e-02
F6,EOGWO,20,5.198660e-03
F6,EOGWO,21,8.533314e-03
F6,EOGWO,22,7.496177e-03
F6,EOGWO,23,5.761910e-03
F6,EOGWO,24,1.407583e-02
F6,EOGWO,25,1.103249e-03
F6,EOGWO,26,3.239362e-02
F6,EOGWO,27,6.929869e-04
F6,EOGWO,28,1.903770e-03
F6,EOGWO,29,9.774662e-02
F6,GWO,0,8.274496e-02
F6,GWO,1,5.411102e-04
F6,GWO,2,8.069708e-06
F6,GWO,3,8.630571e-05
F6,GWO,4,5.296196e-04
F6,GWO,5,3.430944e-05
F6,GWO,6,6.059980e-02
F6,GWO,7,5.335176e-04
F6,GWO,8,2.440675e-03
F6,GWO,9,2.144701e-07
F6,GWO,10,1.910262e-04
F6,GWO,11,2.560976e-01
F6,GWO,12,5.299810e-05
F6,GWO,13,6.231892e-03
F6,GWO,14,3.248381e-04
F6,GWO,15,1.098621e-05
F6,GWO,16,4.334638e-06
F6,GWO,17,1.201820e-03
F6,GWO,18,1.221733e-03
F6,GWO,19,1.658587e-06
F6,GWO,20,2.362616e-01
F6,GWO,21,6.538417e-02
F6,GWO,22,1.265126e-02
F6,GWO,23,4.312255e-05
F6,GWO,24,2.488973e-04
F6,GWO,25,8.153496e-04
F6,GWO,26,1.458926e-02
F6,GWO,27,1.522016e-01
F6,GWO,28,5.738911e-04
