problem,algo,run,cost,feasible
Tension/Compression Spring,DE,6,0.012764,1
Tension/Compression Spring,DE,7,0.012666,1
Tension/Compression Spring,DE,8,0.012665,1
Tension/Compression Spring,DE,9,0.012665,1
Tension/Compression Spring,DE,10,0.012665,1
Tension/Compression Spring,DE,11,0.012668,1
Tension/Compression Spring,DE,12,0.012665,1
Tension/Compression Spring,DE,13,0.012665,1
Tension/Compression Spring,DE,14,0.012665,1
Tension/Compression Spring,DE,15,0.012665,1
Tension/Compression Spring,DE,16,0.012665,1
Tension/Compression Spring,DE,17,0.012665,1
Tension/Compression Spring,DE,18,0.012665,1
Tension/Compression Spring,DE,19,0.012665,1
Tension/Compression Spring,DE,20,0.012665,1
Tension/Compression Spring,DE,21,0.012666,1
Tension/Compression Spring,DE,22,0.012665,1
Tension/Compression Spring,DE,23,0.012665,1
Tension/Compression Spring,DE,24,0.012679,1
Tension/Compression Spring,DE,25,0.012666,1
Tension/Compression Spring,DE,26,0.012665,1
Tension/Compression Spring,DE,27,0.012665,1
Tension/Compression Spring,DE,28,0.012669,1
Tension/Compression Spring,DE,29,0.012665,1
Tension/Compression Spring,WOA,0,0.013277,1
Tension/Compression Spring,WOA,1,0.013963,1
Tension/Compression Spring,WOA,2,0.014679,1
Tension/Compression Spring,WOA,3,0.014116,1
Tension/Compression Spring,WOA,4,0.012685,1
Tension/Compression Spring,WOA,5,0.013439,1
Tension/Compression Spring,WOA,6,0.014804,1
Tension/Compression Spring,WOA,7,0.015371,1
Tension/Compression Spring,WOA,8,0.012679,1
Tension/Compression Spring,WOA,9,0.012761,1
Tension/Compression Spring,WOA,10,0.012688,1
Tension/Compression Spring,WOA,11,0.013182,1
Tension/Compression Spring,WOA,12,0.013751,1
Tension/Compression Spring,WOA,13,0.012670,1
Tension/Compression Spring,WOA,14,0.016873,1
Tension/Compression Spring,WOA,15,0.012721,1
Tension/Compression Spring,WOA,16,0.017387,1
Tension/Compression Spring,WOA,17,0.014407,1
Tension/Compression Spring,WOA,18,0.012855,1
Tension/Compression Spring,WOA,19,0.014315,1
Tension/Compression Spring,WOA,20,0.015441,1
Tension/Compression Spring,WOA,21,0.013785,1
Tension/Compression Spring,WOA,22,0.012882,1
Tension/Compression Spring,WOA,23,0.012922,1
Tension/Compression Spring,WOA,24,0.015005,1
Tension/Compression Spring,WOA,25,0.013598,1
Tension/Compression Spring,WOA,26,0.012666,1
Tension/Compression Spring,WOA,27,0.012672,1
Tension/Compression Spring,WOA,28,0.015148,1
Tension/Compression Spring,WOA,29,0.012695,1
